V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Signal
149.011,78.681,108.976,90.132,2.976,231.858,-1.684,2.262,37.025,264.559,1.748,1.196,0.849,40.16,-1.277,1.835,70.188,-0.127,-2.501,38.32,2.06,361.911,61.172,-2.216,-0.119,49.221,0.76,0.08,154.211,0
117.492,48.134,91.032,72.694,0.595,126.941,3.537,1.783,16.909,250.669,0.891,-0.437,0,61.816,-1.156,-1.841,55.089,-1.313,-0.065,11.003,-2.782,311.342,92.938,2.201,2.125,40.827,1.607,-0.475,133.765,0
150.394,6.228,84.44,98.478,4.874,538.651,-4.89,2.571,1.515,184.803,1.452,0.814,0.637,33.407,1.54,-2.854,48.522,0.612,1.032,73.789,0.928,192.76,71.453,1.413,-1.804,31.421,-3.461,-2.333,102.874,1
243.098,80.682,207.533,78.331,3.289,188.493,-1.995,3.102,27.687,170.176,1.795,-0.058,0.763,34.415,-1.404,2.63,61.762,1.697,2.721,30.897,0.366,266.783,40.797,-0.803,0.065,33.202,2.486,-1.012,73.999,0
122.295,40.851,67.982,250.571,0.115,181.01,0.551,1.171,32.413,431.764,0.252,1.26,0,117.509,0.934,-0.87,29.571,1.637,-1.807,113.514,-1.086,540.287,208.213,0.687,2.361,76.472,0.802,0.799,284.685,1
237.241,109.603,220.138,67.314,0.062,60.057,0.027,3.109,29.117,182.768,1.809,-0.446,0,36.866,-2.21,-0.13,66.696,0.853,0.407,47.106,-2.311,193.391,46.995,-0.137,-3.117,32.21,-0.199,1.442,79.206,0
145.36,31.127,76.043,101.08,0.541,36.077,0.007,2.933,21.246,179.743,1.541,1.381,0.232,27.386,1.073,-2.072,42.192,0.044,0.675,81.159,0.137,319.502,79.281,-0.013,-3.094,30.884,-0.554,2.814,110.166,0
113.548,36.451,55.402,185.913,3.884,566.642,-3.29,1.179,12.928,374.399,1.29,1.398,0.999,43.822,-0.728,-2.357,56.547,-0.62,-1.183,102.044,-1.668,357.338,126.839,1.249,1.407,53.993,-2.635,1.795,274.03,1
65.572,62,63.56,5.055,5.367,749.211,-7.202,2.005,57.717,206.473,0.831,-1.401,0.879,37.581,1.993,2.007,31.22,0.973,-2.551,40.475,-0.432,88.04,54.223,2.693,-0.564,48.175,-2.675,1.266,137.672,1
99.292,12.125,63.886,65.102,3.867,281.252,1.379,3.159,45.795,177.908,2.273,1.41,0.425,20.148,0.165,-1.612,45.79,-0.475,1.482,39.896,1.198,239.37,42.438,-4.196,2.728,37.19,-0.329,-1.182,111.969,0
117.221,37.805,59.165,150.527,0.752,244.308,-0.139,1.513,86.803,386.212,0.743,1.325,0.712,45.081,0.825,0.67,33.487,-0.269,-0.377,82.525,0.359,451.061,152.596,-0.426,-2.131,85.655,0.326,1.286,307.645,0
126.038,51.815,87.256,193.469,3.059,347.297,-1.932,1.172,2.01,359.233,0.723,1.312,0.96,92.64,1.07,2.494,66.962,0.948,1.328,59.97,2.171,334.824,161.846,-0.891,-0.982,37.785,2.167,-1.526,199.631,1
117.599,29.841,66.024,78.722,5.258,859.083,-6.855,2.239,5.764,202.993,0.882,1.395,0.883,37.623,1.78,-2.38,33.172,1.163,-0.227,46.567,-1.006,302.866,89.552,-2.393,1.452,42.647,2.864,-2.632,132.198,1
117.481,32.644,90.508,310.801,0.588,83.485,2.741,0.948,125.567,633.877,0.154,0.734,0.747,244.221,-1.202,1.429,37.545,-1.84,0.729,38.116,1.621,725.278,147.698,-1.976,-2.15,108.877,-1.387,-2.199,352.112,1
120.611,15.655,79.238,61.644,3.923,396.435,-3.848,2.416,14.153,226.099,1.185,1.318,0.924,36.659,1.299,0.096,43.431,0.527,-2.193,30.132,-1.757,308.301,75.126,1.938,2.386,40.086,-1.985,-0.026,146.008,1
100.863,16.064,48.851,108.283,2.761,275.948,-0.78,1.773,42.316,203.431,0.869,1.277,0.876,33.186,-0.113,-0.53,28.84,-0.558,-2.247,72.012,-1.893,336.612,95.568,0.32,0.711,45.837,-2.441,3.02,141.406,0
40.678,71.914,35.428,56.89,2.116,161.324,0.51,0.968,3.206,184.037,1.423,-0.551,0.289,31.701,0.353,2.997,45.12,0.098,2.063,46.639,0.261,252.349,70.074,0.218,-0.927,37.143,2.334,3.103,107.217,0
89.101,1.267,48.588,174.731,2.574,273.245,-0.132,1.038,26.397,300.025,0.379,0.929,0.001,73.508,1.331,-1.303,27.88,2.297,-1.683,76.783,-1.71,385.349,168.259,-2.521,1.687,30.379,0.052,-0.558,198.637,0
103.058,17.667,76.375,92.667,3.137,217.569,-0.379,1.705,0.246,183.381,0.982,1.414,0.025,45.266,0.38,2.951,44.436,1.564,-2.106,19.303,-2.719,169.867,51.418,-3.011,0.273,42.261,0.126,0.597,93.679,0
121.346,7.211,78.769,74.28,2.677,156.241,-0.384,1.983,4.552,176.481,0.618,0.762,0.67,56.973,-0.387,-0.314,35.2,0.34,-2.158,38.135,-2.356,255.657,43.672,-0.152,2.238,40.636,2.525,1.189,84.308,1
539.095,310.957,349.903,69.561,0.759,117.417,-0.083,3.017,11.352,474.833,1.324,-1.396,0.441,151.485,-0.121,1.529,200.556,0.096,-1.48,123.642,1.98,384.996,77.046,-0.627,-0.7,45.745,0.132,-2.91,122.791,0
127.279,7.06,68.771,202.077,0.41,43.541,-0.036,1.114,40.653,441.951,0.215,0.831,0,139.456,1.745,-1.726,29.998,1.501,-2.814,73.921,-2.964,411.755,87.15,-0.129,1.098,81.904,0.281,0.987,272.497,1
101.136,21.816,50.272,247.848,4.983,1362.966,-3.755,1.092,2.033,422.288,2.373,1.391,0.992,29.035,0.836,2.373,68.902,1.793,1.848,152.803,2.061,445.278,279.341,-0.925,-1.235,45.01,4.058,1.116,324.351,1
152.432,6.175,94.121,121.305,3.234,421.384,-0.334,2.013,6.679,276.883,1.169,1.1,0.733,46.421,-0.453,-1.095,54.272,0.61,-2.805,61.835,-2.698,268.829,120.157,-0.107,0.349,56.033,3.127,2.218,176.19,1
137.877,3.351,70.861,143.967,4.215,654.575,-3.094,1.669,6.769,265.921,0.804,0.944,0.549,50.624,0.287,-0.924,40.694,-0.471,0.564,91.845,0.619,347.006,122.998,-0.947,-2.58,51.606,3.268,2.325,174.603,1
98.482,49.805,72.699,80.83,0.456,85.33,0.364,1.703,3.54,209.137,0.682,0.586,0.297,58.156,0.653,-2.609,39.657,0.394,-0.926,21.727,-2.952,281.508,72.843,0.873,1.477,38.481,0.417,-0.225,111.324,0
113.582,3.736,62.339,185.775,5.173,1170.704,-6.666,1.292,20.972,295.198,1.341,1.251,0.991,39.054,-1.173,-2.564,52.374,0.099,-2.339,94.956,-2.392,406.864,152.195,-2.739,0.737,51.575,2.434,0.952,203.77,1
122.971,29.744,74.771,179.272,3.11,418.348,-2.417,1.27,5.653,307.867,0.847,1.392,0.386,66.7,-2.036,-1.561,56.475,-1.489,-0.415,76.26,-0.872,344.023,101.582,1.584,1.998,83.109,-1.526,2.455,184.691,1
34.953,122.931,29.301,221.61,0.447,164.785,1.6,0.434,49.933,456.223,8.559,-0.03,0.513,23.019,1.783,-2.033,197.014,1.467,-2.33,38.632,2.39,341.813,197.785,1.508,0.598,38.405,1.061,2.864,236.19,0
134.346,26.002,90.482,106.189,3.298,344.891,4.062,1.996,18.99,263.253,0.411,1.411,0.748,74.857,0.594,-0.047,30.764,1.715,1.604,28.823,0.7,334.826,125.293,0.955,-2.438,32.34,4.253,1.014,157.632,0
120.191,9.265,55.208,267.343,0.025,100.188,0.249,0.938,10.871,416.991,0.243,1.402,0,116.452,-0.576,-2.864,28.241,0.289,-2.503,124.734,-2.659,507.485,215.035,-0.512,0.239,57.262,-0.487,1.088,272.297,0
87.525,18.525,66.248,134.136,2.928,1280.781,-2.137,0.981,36.221,724.383,0.57,0.289,0.41,92.98,-1.43,0.417,53.013,-1.304,-0.556,13.451,-1.265,804.72,353.628,-1.385,2.469,224.762,1.543,-1.029,578.39,0
113.069,124.493,98.93,111.505,1.835,143.843,0.279,1.59,17.952,300.729,3.711,-1.394,0.01,35.768,1.168,0.928,132.752,0.919,-0.642,36.959,-2.831,394.758,79.964,-0.141,2.884,52.245,-1.976,2.257,132.209,0
139.057,36.224,70.859,386.998,0.604,220.09,0.81,0.853,393.397,1248.995,2.128,1.169,0.704,55.54,-1.58,2.146,118.204,-0.771,2.416,215.585,2.188,1305.552,386.134,-0.648,-1.367,274.933,-1.252,-1.608,1075.251,1
200.964,65.697,161.109,77.662,2.509,195.336,1.995,2.93,22.015,225.74,1.879,-0.922,0.964,36.957,-0.589,1.186,69.447,1.649,-0.705,50.092,-1.886,269.424,79.712,0.635,2.026,39.624,3.143,-2.862,119.336,0
102.42,51.128,68.29,50.745,0.441,81.267,1.16,2.413,24.463,177.126,1.421,1.381,0,30.234,-0.211,-2.714,42.947,0.156,-0.329,27.055,-2.025,262.765,54.393,-1.32,2.137,49.552,-0.879,0.498,103.945,0
114.709,1.981,68.049,63.772,2.755,297.804,-1.791,2.711,78.707,259.136,1.377,1.083,0.993,28.266,-0.457,-2.359,38.92,0.213,0.268,47.445,0.222,409.529,114.996,-1.051,-1.769,43.218,1.703,1.639,191.95,0
140.473,11.208,108.116,56.708,3.649,405.702,-2.636,2.555,0.383,246.373,2.03,-0.69,0.961,38.767,0.741,-0.666,78.689,1.198,1.848,6.69,2.341,250.373,68.093,2.656,-0.651,60.824,-0.992,-2.888,128.917,1
132.756,11.775,74.067,119.243,3.61,405.887,-0.516,1.725,0.482,287.552,0.292,1.268,1,89.965,1.492,-0.542,26.226,1.695,-2.255,46.564,-1.916,296.001,141.278,-0.149,1.796,30.084,3.461,-2.006,171.361,1
113.728,59.44,60.671,83.414,4.002,264.324,-2.485,2.022,30.471,172.501,1.458,1.258,0.923,27.509,-0.906,0.297,40.102,-1.799,-1.518,48.018,-0.03,204.669,37.417,-3.233,-2.82,34.016,0.769,1.995,104.89,0
75.848,3.37,51.049,254.421,0.924,168.841,1.324,0.626,35.409,511.603,1.611,1.071,0,64.662,-1.107,-0.159,104.161,-0.76,0.362,91.758,0.327,530.152,268.705,0.778,-2.677,40.243,1.702,2.198,342.78,0
155.931,3.705,73.138,130.795,1.057,91.107,-0.079,2.246,21.071,179.557,1.061,1.143,0.971,26.505,1.808,-1.057,28.134,-0.356,-1.659,79.316,-1.58,301.674,83.302,-0.976,2.008,41.615,0.081,0.954,124.918,1
67.396,47.541,49.644,167.112,3.723,772.649,-3.261,0.814,35.29,474.771,2.271,0.567,0.156,40.126,1.431,1.619,91.116,2.084,1.133,45.3,1.891,438.032,247.882,1.409,-1.511,55.322,-2.314,1.902,343.529,0
100.043,39.989,67.498,34.637,1.24,132.915,-0.374,2.867,43.901,230.712,1.379,1.414,0.023,27.597,0.639,-0.985,38.054,1.305,2.509,22.38,-2.264,319.053,69.969,0.723,1.764,55.822,-0.517,-0.156,165.062,0
130.881,87.309,71.254,68.98,6.874,1395.038,-11.796,2.499,19.828,165.265,0.879,0.522,0.856,39.924,1.399,0.062,35.078,1.221,2.554,57.273,-0.13,237.445,49.946,3.303,-2.142,40.317,-3.572,2.948,90.264,1
108.601,28.355,51.354,187.829,3.886,739.844,-3.466,1.194,4.437,304.03,0.664,0.745,0.319,50.299,0.385,-1.52,33.416,1.52,-1.15,107.008,-1.628,332.048,137.396,-2.498,2.038,82.92,1.387,0.843,220.316,1
116.29,12.151,48.507,226.973,5.004,1807.333,-5.96,1.729,17.673,374.115,2.184,0.857,0.983,21.474,-0.439,2.718,46.904,-0.224,1.003,184.717,0.873,422.458,190.528,1.954,-1.575,115.209,-3.05,-3.017,305.737,1
107.069,46.41,56.682,150.198,1.911,184.341,-0.33,1.486,67.124,272.407,0.441,1.344,0.892,63.091,1.042,-0.054,27.797,1.086,-1.539,79.167,-0.505,355.932,76.32,1.719,2.336,63.857,-0.192,-2.389,181.519,1
88.76,27.387,66.192,94.462,0.517,37.382,-0.01,1.34,1.776,217.333,0.345,-0.088,0,90.151,-0.509,-0.185,31.067,-0.788,-1.496,26.419,-2.492,277.257,62.217,-0.02,2.568,33.897,0.497,2.058,96.114,0
142.894,20.62,76.288,114.262,3.37,770.055,-1.32,2.686,24.672,364.589,1.585,1.319,0.881,31.082,-0.575,0.05,49.276,-0.632,2.735,89.534,2.424,375.901,170.303,0.453,0.151,113.927,-2.918,-2.18,284.23,1
101.983,5.945,53.91,73.57,0.401,146.994,0.67,2.606,109.256,354.972,1.434,0.69,0.009,22.085,1.133,-2.413,31.679,0.41,0.091,60.025,0.228,431.16,75.294,0.643,1.936,72.443,1.043,-0.629,301.208,0
131.463,59.914,103.305,59.085,2.57,311.457,-0.032,2.268,5.788,243.057,0.936,-0.496,0.978,41.962,-0.515,-2.581,39.259,1.463,-1.471,46.251,0.088,302.35,90.568,2.557,2.819,71.269,-0.012,0.367,161.837,1
98.848,3.59,58.636,93.22,0.961,255.431,-0.036,2,80.336,424.042,1.526,0.918,0.067,27.038,0.319,-0.071,41.256,-0.348,1.815,58.005,1.889,505.442,116.011,0.922,0.822,114.477,-0.039,-1.932,355.748,1
99.445,30.494,62.408,78.956,2.393,261.854,0.542,1.975,50.697,278.139,1.333,-0.018,0.451,31.58,-0.177,-0.738,42.091,0.337,1.169,58.202,1.795,329.527,83.924,0.208,-0.984,62.349,2.601,2.453,204.468,0
133.242,12.757,68.344,70.867,1.428,149.899,-0.125,2.333,75.497,245.2,0.581,1.275,0.907,48.613,1.016,2.205,28.241,0.844,-0.122,55.083,0.203,353.438,91.579,-0.093,-1.666,40.486,1.334,0.763,168.346,1
116.837,20.863,64.411,79.748,0.173,106.958,2.785,2.536,21.388,174.286,1.075,1.355,0,25.512,-0.551,-0.349,27.425,1.048,1.619,51.658,1.057,206.808,82.984,-1.758,-2.511,38.365,-1.585,-0.131,121.349,1
125.888,17.246,67.419,194.89,3.565,519.069,-2.16,1.248,3.172,302.626,0.72,1.399,0.323,61.624,0.191,1.327,44.373,-0.886,1.958,94.232,1.691,345.799,138.551,-0.774,-1.443,58.077,2.791,-1.597,196.628,1
100.156,2.057,56.076,95.306,3.157,379.493,0.944,1.775,1.854,227.391,0.941,1.047,0.003,35.215,1.173,-0.399,33.144,1.96,-1.991,55.122,-1.943,256.604,102.145,-0.275,2.126,56.887,-3.432,0.13,159.031,0
102.267,5.948,79.589,96.161,2.632,290.507,-1.71,1.656,2.372,262.437,1.772,0.641,0.866,33.299,0.885,-1.17,59.022,-0.644,-0.532,9.085,-0.274,220.511,127.741,1.171,2.676,42.374,-1.461,0.192,170.115,0
85.874,11.014,45.758,98.255,1.774,463.752,-0.531,1.824,68.373,471.236,1.556,1.199,0.014,23.136,-1.487,2.15,36.001,-1.332,-2.316,62.416,-2.549,478.99,261.299,-0.381,0.277,102.415,1.393,3.111,412.099,0
137.079,24.939,66.38,115.286,6.686,1354.151,-11.118,2.642,27.896,172.665,1.444,1.337,0.825,27.71,1.733,-1.863,40.002,1.222,0.73,94.324,0.321,206.686,73.93,3.1,-2.667,31.024,-3.586,-2.589,104.954,1
339.592,192.997,211.862,205.048,1.036,175.771,-0.202,2.151,43.137,482.848,1.164,1.043,0.992,104.202,0.54,-2.902,121.339,-0.305,1.403,113.022,-2.943,646.186,130.254,0.26,-0.906,80.365,-0.775,0.525,257.307,0
119.306,51.961,83.649,9.775,1.245,323.27,0.385,2.891,2.996,352.665,1.192,-1.288,0.309,38.27,-0.478,1.087,45.628,-0.204,-2.318,14.88,0.671,398.478,138.374,-0.256,-1.142,130.394,-1.501,2.04,268.767,0
162.521,3.905,72.73,173.263,0.886,180.014,0.8,1.837,0.782,303.651,1.054,0.656,0.002,33.68,-1.945,2.989,35.502,-0.113,3.131,104.625,-3.088,294.83,196.489,1.441,0.167,37.98,0.555,-2.117,234.468,1
109.634,12.897,58.222,58.987,3.675,277.176,-2.512,3.121,26.353,136.055,1.35,-1.004,0.554,20.305,-1.856,1.156,27.414,-0.482,-1.647,52.744,-1.988,149.498,49.103,-0.908,1.03,39.233,2.767,2.76,88.336,0
107.647,30.726,67.208,102.467,3.392,327.457,-2.171,1.912,47.179,224.742,0.738,0.713,0.332,36.593,-0.84,-2.172,26.999,0.942,-1.476,45.839,-2.38,306.741,70.485,0.857,2.089,49.231,-2.535,-0.036,161.15,0
104.905,25.021,73.489,52.751,1.723,395.355,-0.562,2.607,10.093,367.52,2.194,1.4,0.786,25.585,-0.222,1.464,56.122,-0.002,-1.133,17.266,-0.306,471.838,145.787,0.437,-2.662,140.026,-1.286,0.874,285.814,0
121.673,1.056,63.113,62.251,3.087,144.9,3.76,3.093,0.949,126.559,1.096,1.241,0.022,29.947,0.297,0.413,32.824,0.53,-2.786,59.261,-2.81,130.159,32.659,-0.935,0.171,31.129,-4.022,0.454,63.788,0
120.487,21.317,82.363,221.43,4.136,915.427,-3.5,1.052,12.961,442.501,0.476,1.375,0.97,111.512,-0.346,0.453,53.131,0.522,1.047,63.099,0.677,590.475,162.004,2.95,-2.103,83.914,-1.186,-3.107,277.858,1
112.758,36.117,80.544,19.924,0.79,128.395,0.438,3.217,25.204,188.009,1.997,1.388,0.001,23.018,-0.437,-2.466,45.969,-1.805,0.446,7.884,-2.052,227.882,62.256,-0.375,-0.713,56.766,-1.165,2.75,119.022,0
100.358,3.389,65.23,132.707,2.472,177.429,-0.617,1.477,34.913,236.398,0.403,1.19,0.83,65.201,-0.944,-0.238,26.277,0.421,-0.802,45.603,-0.704,283.782,64.719,2.19,3.009,44.446,-0.282,2.071,144.921,1
68.913,36.303,51.545,35.226,0.613,72.273,0.096,1.861,21.955,139.165,1.702,-1.263,0,24.236,1.699,1.976,41.248,2.113,-2.493,14.63,-0.83,198.02,40.909,0.129,0.144,32.771,0.742,2.514,73.68,0
132.442,44.456,90.994,221.803,5.04,1219.568,-5.813,1.089,33.806,404.542,0.928,1.409,0.694,90.769,-0.563,-0.487,84.209,-0.79,0.578,71.048,-0.005,554.294,102.863,3.253,-2.85,94.57,-1.787,2.818,229.564,1
90.6,40.911,51.205,178.446,4.575,777.343,-1.512,1.016,7.19,284.881,0.673,1.164,0.433,62.267,0.757,-2.803,41.916,0.164,-1.978,83.611,-2.684,306.661,133.643,0.359,0.377,47.055,-4.216,1.005,180.698,0
133.66,35.198,90.764,81.104,1.56,130.721,-0.543,2.237,9.957,212.969,0.561,1.408,0.228,63.52,-0.431,-3.1,35.663,-1.204,-1.001,26.922,-2.209,213.261,62.102,-1.035,-0.117,51.684,0.525,1.566,113.786,1
138.934,29.19,98.332,132.794,0.469,37.635,-0.034,1.921,3.959,249.691,0.294,1.217,0,93.044,-0.96,-1.309,27.319,-2.364,0.003,29.341,-1.081,295.195,86.759,-0.09,2.096,42.568,0.379,2.104,129.327,1
141.441,1.893,107.975,263.547,2.415,408.385,0.312,1.24,2.256,501.36,0.165,1.019,0.891,200.99,2.159,1.032,33.26,0.921,1.094,29.353,1.034,528.308,148.322,2.538,-2.012,118.789,0.123,-2.212,267.111,1
126.556,9.308,68.628,89.17,0.358,36.594,0.094,1.999,33.042,152.713,0.732,0.754,0.991,46.04,-0.267,1.007,33.705,0.339,-0.897,66.453,-1.094,233.798,38.42,0.534,1.849,34.548,0.177,2.801,72.967,1
114.884,37.172,60.812,146.284,0.785,180.238,0.592,1.489,31.278,300.895,0.948,1.41,0.843,45.361,-1.121,0.088,42.986,-0.702,1.517,79.679,0.871,427.61,150.684,-0.471,-2.521,61.864,-1.256,-0.56,212.548,0
156.692,2.081,109.919,73.175,6.657,1223.844,-11.004,2.181,2.969,214.47,0.761,1.06,0.966,71.05,0.904,-1.392,54.05,0.889,2.711,28.892,2.763,258.988,53.064,3.602,0.968,36.306,-3.055,-0.261,89.369,1
170.398,103.952,82.136,66.147,0.654,74.64,0.395,2.733,35.535,221.806,2.619,1.386,0,24.857,0.251,-3.014,65.089,0.869,0.607,57.914,2.626,272.691,57.318,-0.381,-1.113,44.214,-1.035,-2.536,131.86,1
107.999,4.293,61.977,124,1.794,112.931,-0.289,1.589,27.362,210.543,0.598,0.784,0.869,46.288,-0.463,-2.34,27.67,1.054,-1.869,54.511,-1.758,249.446,64.155,-0.179,1.028,42.07,1.615,1.678,136.585,1
121.802,46.518,98.655,66.771,3.76,403.094,-3.378,2.012,29.913,244.065,1.776,-1.196,0.535,43.731,-1.753,-2.329,77.685,-1.884,-0.321,17.669,1.036,226.757,63.58,-2.277,2.928,59.069,1.483,1.274,122.649,1
